time,in or out
8:00:05,Out
8:00:09,Out
8:00:10,Out
8:00:15,Out
8:00:16,Out
8:00:16,Out
8:00:17,Out
8:00:17,Out
8:00:17,In
8:00:17,In
8:00:17,In
8:00:18,In
8:00:18,Out
8:00:18,Out
8:00:18,Out
8:00:18,In
8:00:32,Out
8:00:32,Out
8:00:32,Out
8:00:34,Out
8:00:35,Out
8:00:39,Out
8:00:40,Out
8:00:45,Out
8:00:47,In
8:00:49,Out
8:01:09,Out
8:01:09,In
8:01:22,Out
8:01:25,In
8:01:40,Out
8:01:46,Out
8:01:46,In
8:01:54,Out
8:01:55,Out
8:01:55,Out
8:01:55,In
8:01:56,In
8:01:57,In
8:02:02,Out
8:02:04,In
8:02:08,Out
8:02:09,Out
8:02:12,Out
8:02:12,Out
8:02:18,Out
8:02:21,Out
8:02:21,Out
8:02:36,Out
8:02:37,Out
8:02:37,In
8:02:37,Out
8:02:38,Out
8:02:38,Out
8:02:42,Out
8:02:43,Out
8:02:43,Out
8:02:45,In
8:02:48,Out
8:02:55,In
8:02:56,Out
8:02:56,Out
8:02:58,In
8:03:08,In
8:03:15,Out
8:03:22,Out
8:03:22,Out
8:03:22,In
8:03:24,Out
8:03:25,In
8:03:25,In
8:03:25,In
8:03:26,Out
8:03:26,Out
8:03:26,In
8:03:26,In
8:03:27,In
8:03:28,Out
8:03:30,In
8:03:35,Out
8:03:40,In
8:03:45,In
8:03:52,Out
8:03:52,Out
8:03:53,In
8:03:53,Out
8:03:53,In
8:03:54,In
8:03:54,In
8:03:59,In
8:04:04,Out
8:04:04,Out
8:04:04,Out
8:04:06,In
8:04:07,Out
8:04:09,In
8:04:09,Out
8:04:09,In
8:04:09,Out
8:04:11,In
8:04:12,Out
8:04:12,Out
8:04:13,Out
8:04:13,Out
8:04:15,In
8:04:16,In
8:04:16,In
8:04:20,In
8:04:21,Out
8:04:24,Out
8:04:24,Out
8:04:27,In
8:04:29,In
8:04:29,Out
8:04:31,Out
8:04:31,In
8:04:32,Out
8:04:33,Out
8:04:33,Out
8:04:33,In
8:04:34,In
8:04:34,In
8:04:35,Out
8:04:35,Out
8:04:36,Out
8:04:36,In
8:04:38,In
8:04:39,In
8:04:42,In
8:04:43,In
8:04:47,Out
8:04:48,In
8:04:50,Out
8:04:50,Out
8:04:50,In
8:04:51,In
8:04:55,In
8:04:57,Out
8:04:58,Out
8:04:58,Out
8:04:59,Out
8:05:00,Out
8:05:01,In
8:05:05,In
8:05:09,In
8:05:09,Out
8:05:10,In
8:05:23,Out
8:05:24,In
8:05:24,In
8:05:24,Out
8:05:25,Out
8:05:25,Out
8:05:27,In
8:05:30,Out
8:05:35,In
8:05:40,Out
8:05:42,In
8:05:43,Out
8:05:44,Out
8:05:44,Out
8:05:46,Out
8:05:46,Out
8:05:46,In
8:05:47,Out
8:05:53,In
8:05:53,In
8:05:53,Out
8:05:54,In
8:06:08,Out
8:06:09,Out
8:06:10,In
8:06:15,Out
8:06:15,Out
8:06:16,Out
8:06:16,Out
8:06:17,Out
8:06:18,In
8:06:18,Out
8:06:20,Out
8:06:20,In
8:06:22,In
8:06:26,Out
8:06:26,Out
8:06:27,Out
8:06:27,In
8:06:28,In
8:06:28,In
8:06:29,In
8:06:30,Out
8:06:30,Out
8:06:30,Out
8:06:32,Out
8:06:33,Out
8:06:33,Out
8:06:33,Out
8:06:34,Out
8:06:34,Out
8:06:34,In
8:06:35,In
8:06:35,Out
8:06:36,Out
8:06:36,Out
8:06:39,In
8:06:40,In
8:06:42,In
8:06:43,Out
8:06:44,Out
8:06:46,Out
8:06:46,In
8:06:52,Out
8:06:52,In
8:07:02,Out
8:07:02,Out
8:07:04,Out
8:07:06,Out
8:07:06,In
8:07:07,Out
8:07:07,In
8:07:07,Out
8:07:10,In
8:07:11,Out
8:07:11,Out
8:07:11,In
8:07:12,In
8:07:12,In
8:07:13,Out
8:07:13,In
8:07:14,Out
8:07:14,In
8:07:15,In
8:07:16,Out
8:07:16,In
8:07:21,Out
8:07:22,In
