hour,minute,in_sum,in_median,in_std,out_sum,out_median,out_std
6,0,78.0,78.0,,63.0,63.0,
6,1,91.0,91.0,,75.0,75.0,
6,2,92.0,92.0,,84.0,84.0,
6,3,64.0,64.0,,82.0,82.0,
6,4,84.0,84.0,,82.0,82.0,
6,5,82.0,82.0,,87.0,87.0,
6,6,87.0,87.0,,81.0,81.0,
6,7,66.0,66.0,,80.0,80.0,
6,8,98.0,98.0,,83.0,83.0,
6,9,101.0,101.0,,88.0,88.0,
6,10,84.0,84.0,,81.0,81.0,
6,11,76.0,76.0,,96.0,96.0,
6,12,87.0,87.0,,78.0,78.0,
6,13,91.0,91.0,,99.0,99.0,
6,14,81.0,81.0,,96.0,96.0,
6,15,96.0,96.0,,84.0,84.0,
6,16,92.0,92.0,,81.0,81.0,
6,17,78.0,78.0,,76.0,76.0,
6,18,96.0,96.0,,65.0,65.0,
6,19,82.0,82.0,,85.0,85.0,
6,20,86.0,86.0,,76.0,76.0,
6,21,84.0,84.0,,68.0,68.0,
6,22,89.0,89.0,,96.0,96.0,
6,23,95.0,95.0,,89.0,89.0,
6,24,84.0,84.0,,90.0,90.0,
6,25,74.0,74.0,,74.0,74.0,
6,26,100.0,100.0,,73.0,73.0,
6,27,83.0,83.0,,78.0,78.0,
6,28,89.0,89.0,,99.0,99.0,
6,29,91.0,91.0,,84.0,84.0,
6,30,73.0,73.0,,85.0,85.0,
6,31,88.0,88.0,,74.0,74.0,
6,32,71.0,71.0,,76.0,76.0,
6,33,97.0,97.0,,88.0,88.0,
6,34,73.0,73.0,,90.0,90.0,
6,35,90.0,90.0,,74.0,74.0,
6,36,93.0,93.0,,100.0,100.0,
6,37,89.0,89.0,,84.0,84.0,
6,38,89.0,89.0,,90.0,90.0,
6,39,83.0,83.0,,94.0,94.0,
6,40,90.0,90.0,,79.0,79.0,
6,41,96.0,96.0,,83.0,83.0,
6,42,68.0,68.0,,73.0,73.0,
6,43,87.0,87.0,,81.0,81.0,
6,44,90.0,90.0,,94.0,94.0,
6,45,67.0,67.0,,106.0,106.0,
6,46,84.0,84.0,,65.0,65.0,
6,47,86.0,86.0,,88.0,88.0,
6,48,84.0,84.0,,73.0,73.0,
6,49,90.0,90.0,,79.0,79.0,
6,50,72.0,72.0,,71.0,71.0,
6,51,83.0,83.0,,77.0,77.0,
6,52,90.0,90.0,,60.0,60.0,
6,53,72.0,72.0,,81.0,81.0,
6,54,73.0,73.0,,83.0,83.0,
6,55,77.0,77.0,,90.0,90.0,
6,56,70.0,70.0,,79.0,79.0,
6,57,90.0,90.0,,105.0,105.0,
6,58,87.0,87.0,,78.0,78.0,
6,59,77.0,77.0,,86.0,86.0,
7,0,113.0,113.0,,132.0,132.0,
7,1,136.0,136.0,,117.0,117.0,
7,2,121.0,121.0,,127.0,127.0,
7,3,115.0,115.0,,115.0,115.0,
7,4,116.0,116.0,,109.0,109.0,
7,5,137.0,137.0,,120.0,120.0,
7,6,121.0,121.0,,131.0,131.0,
7,7,135.0,135.0,,135.0,135.0,
7,8,98.0,98.0,,125.0,125.0,
7,9,125.0,125.0,,106.0,106.0,
7,10,107.0,107.0,,128.0,128.0,
7,11,119.0,119.0,,121.0,121.0,
7,12,126.0,126.0,,128.0,128.0,
7,13,118.0,118.0,,121.0,121.0,
7,14,122.0,122.0,,121.0,121.0,
7,15,103.0,103.0,,125.0,125.0,
7,16,134.0,134.0,,127.0,127.0,
7,17,116.0,116.0,,147.0,147.0,
7,18,123.0,123.0,,122.0,122.0,
7,19,125.0,125.0,,110.0,110.0,
7,20,125.0,125.0,,130.0,130.0,
7,21,139.0,139.0,,135.0,135.0,
7,22,121.0,121.0,,143.0,143.0,
7,23,138.0,138.0,,113.0,113.0,
7,24,118.0,118.0,,117.0,117.0,
7,25,121.0,121.0,,129.0,129.0,
7,26,123.0,123.0,,131.0,131.0,
7,27,115.0,115.0,,102.0,102.0,
7,28,122.0,122.0,,112.0,112.0,
7,29,132.0,132.0,,121.0,121.0,
7,30,116.0,116.0,,117.0,117.0,
7,31,113.0,113.0,,119.0,119.0,
7,32,116.0,116.0,,120.0,120.0,
7,33,128.0,128.0,,123.0,123.0,
7,34,119.0,119.0,,126.0,126.0,
7,35,135.0,135.0,,116.0,116.0,
7,36,121.0,121.0,,121.0,121.0,
7,37,126.0,126.0,,123.0,123.0,
7,38,104.0,104.0,,125.0,125.0,
7,39,139.0,139.0,,108.0,108.0,
7,40,145.0,145.0,,154.0,154.0,
7,41,120.0,120.0,,118.0,118.0,
7,42,106.0,106.0,,126.0,126.0,
7,43,145.0,145.0,,138.0,138.0,
7,44,123.0,123.0,,133.0,133.0,
7,45,129.0,129.0,,119.0,119.0,
7,46,135.0,135.0,,109.0,109.0,
7,47,115.0,115.0,,123.0,123.0,
7,48,122.0,122.0,,109.0,109.0,
7,49,132.0,132.0,,117.0,117.0,
7,50,135.0,135.0,,139.0,139.0,
7,51,127.0,127.0,,102.0,102.0,
7,52,132.0,132.0,,116.0,116.0,
7,53,135.0,135.0,,115.0,115.0,
7,54,125.0,125.0,,106.0,106.0,
7,55,131.0,131.0,,119.0,119.0,
7,56,122.0,122.0,,112.0,112.0,
7,57,122.0,122.0,,106.0,106.0,
7,58,129.0,129.0,,113.0,113.0,
7,59,138.0,138.0,,125.0,125.0,
8,0,405.0,405.0,,407.0,407.0,
8,1,419.0,419.0,,387.0,387.0,
8,2,377.0,377.0,,363.0,363.0,
8,3,404.0,404.0,,414.0,414.0,
8,4,408.0,408.0,,384.0,384.0,
8,5,371.0,371.0,,414.0,414.0,
8,6,421.0,421.0,,411.0,411.0,
8,7,418.0,418.0,,432.0,432.0,
8,8,420.0,420.0,,389.0,389.0,
8,9,377.0,377.0,,412.0,412.0,
8,10,381.0,381.0,,422.0,422.0,
8,11,467.0,467.0,,376.0,376.0,
8,12,390.0,390.0,,379.0,379.0,
8,13,413.0,413.0,,414.0,414.0,
8,14,429.0,429.0,,362.0,362.0,
8,15,367.0,367.0,,374.0,374.0,
8,16,398.0,398.0,,416.0,416.0,
8,17,404.0,404.0,,403.0,403.0,
8,18,381.0,381.0,,411.0,411.0,
8,19,375.0,375.0,,385.0,385.0,
8,20,389.0,389.0,,382.0,382.0,
8,21,368.0,368.0,,393.0,393.0,
8,22,345.0,345.0,,373.0,373.0,
8,23,397.0,397.0,,407.0,407.0,
8,24,397.0,397.0,,401.0,401.0,
8,25,378.0,378.0,,386.0,386.0,
8,26,365.0,365.0,,405.0,405.0,
8,27,400.0,400.0,,449.0,449.0,
8,28,381.0,381.0,,381.0,381.0,
8,29,407.0,407.0,,407.0,407.0,
8,30,370.0,370.0,,422.0,422.0,
8,31,387.0,387.0,,410.0,410.0,
8,32,407.0,407.0,,395.0,395.0,
8,33,388.0,388.0,,386.0,386.0,
8,34,371.0,371.0,,366.0,366.0,
8,35,412.0,412.0,,385.0,385.0,
8,36,389.0,389.0,,421.0,421.0,
8,37,398.0,398.0,,412.0,412.0,
8,38,407.0,407.0,,417.0,417.0,
8,39,391.0,391.0,,366.0,366.0,
8,40,410.0,410.0,,393.0,393.0,
8,41,418.0,418.0,,406.0,406.0,
8,42,395.0,395.0,,404.0,404.0,
8,43,375.0,375.0,,379.0,379.0,
8,44,417.0,417.0,,395.0,395.0,
8,45,395.0,395.0,,405.0,405.0,
8,46,412.0,412.0,,402.0,402.0,
8,47,423.0,423.0,,399.0,399.0,
8,48,414.0,414.0,,389.0,389.0,
8,49,403.0,403.0,,441.0,441.0,
8,50,409.0,409.0,,371.0,371.0,
8,51,384.0,384.0,,395.0,395.0,
8,52,364.0,364.0,,422.0,422.0,
8,53,362.0,362.0,,390.0,390.0,
8,54,400.0,400.0,,401.0,401.0,
8,55,419.0,419.0,,409.0,409.0,
