time,in or out
7:59:59,Out
7:59:59,Out
8:00:00,Out
8:00:00,Out
8:00:02,Out
8:00:02,Out
8:00:02,Out
8:00:03,Out
8:00:04,Out
8:00:04,Out
8:00:04,Out
8:00:04,Out
8:00:05,Out
8:00:05,Out
8:00:06,Out
8:00:06,Out
8:00:07,Out
8:00:07,In
8:00:07,Out
8:00:08,Out
8:00:10,Out
8:00:10,Out
8:00:13,Out
8:00:13,Out
8:00:17,Out
8:00:21,Out
8:00:23,Out
8:00:24,In
8:00:24,Out
8:00:24,In
8:00:25,Out
8:00:25,In
8:00:26,Out
8:00:26,Out
8:00:26,Out
8:00:27,Out
8:00:27,Out
8:00:29,Out
8:00:29,Out
8:00:30,Out
8:00:30,Out
8:00:31,Out
8:00:33,Out
8:00:34,Out
8:00:35,Out
8:00:36,Out
8:00:36,Out
8:00:37,Out
8:00:37,Out
8:00:38,In
8:00:38,Out
8:00:40,Out
8:00:43,Out
8:00:45,Out
8:00:47,Out
8:00:48,Out
8:00:49,Out
8:00:49,Out
8:00:52,Out
8:00:54,Out
8:00:54,Out
8:00:58,Out
8:01:00,Out
8:01:00,Out
8:01:03,Out
8:01:03,Out
8:01:05,Out
8:01:05,Out
8:01:06,Out
8:01:06,Out
8:01:08,Out
8:01:09,Out
8:01:09,Out
8:01:09,Out
8:01:10,Out
8:01:11,Out
8:01:14,Out
8:01:17,Out
8:01:17,Out
8:01:17,Out
8:01:18,Out
8:01:18,Out
8:01:18,Out
8:01:19,Out
8:01:20,Out
8:01:20,Out
8:01:23,Out
8:01:23,Out
8:01:23,In
8:01:23,In
8:01:23,Out
8:01:24,Out
8:01:27,Out
8:01:28,Out
8:01:28,Out
8:01:33,Out
8:01:33,Out
8:01:33,Out
8:01:34,Out
8:01:36,Out
8:01:37,In
8:01:40,Out
8:01:40,Out
8:01:41,Out
8:01:41,In
8:01:42,Out
8:01:42,In
8:01:42,Out
8:01:43,Out
8:01:43,Out
8:01:45,Out
8:01:46,Out
8:01:47,Out
8:01:49,Out
8:01:50,Out
8:01:50,Out
8:01:51,Out
8:01:52,Out
8:01:52,Out
8:01:52,In
8:01:53,In
8:01:53,In
8:01:53,In
8:01:53,In
8:01:53,In
8:01:53,Out
8:01:54,Out
8:01:54,Out
8:01:54,In
8:01:54,In
8:01:55,Out
8:01:55,Out
8:01:55,In
8:01:55,Out
8:01:55,In
8:01:55,Out
8:01:56,Out
8:02:01,Out
