time,bee type,in or out
06:00:35,1,In
06:01:27,1,In
06:01:55,1,In
06:03:17,1,In
06:04:11,1,In
06:04:27,2,Out
06:04:36,1,In
06:05:55,1,Out
06:06:35,1,In
06:06:57,1,In
06:07:39,1,Out
06:08:33,1,Out
06:09:42,1,In
06:09:42,2,Out
06:10:35,1,In
06:10:43,1,In
06:12:09,1,Out
06:13:08,1,Out
06:14:02,1,In
06:14:18,1,Out
06:15:17,1,In
06:16:06,1,Out
06:17:00,1,In
06:17:06,1,Out
06:18:03,1,In
06:18:43,1,In
06:19:17,1,Out
06:19:43,1,Out
06:20:38,1,In
06:21:10,1,In
06:22:22,2,Out
06:23:26,1,Out
06:23:49,1,In
06:24:12,1,In
06:24:39,1,Out
06:25:11,1,Out
06:25:11,2,Out
06:25:45,1,In
06:26:01,1,Out
06:26:30,1,In
06:26:54,1,Out
06:27:38,1,Out
06:28:38,1,Out
06:28:38,2,Out
06:28:56,1,Out
06:30:20,1,In
06:31:08,1,In
06:31:56,1,In
06:31:56,2,Out
06:32:29,1,In
06:32:29,2,Out
06:32:52,1,Out
06:33:13,1,Out
06:34:13,1,In
06:34:28,1,Out
06:34:28,2,In
06:34:44,1,In
06:35:39,1,Out
06:36:23,1,Out
06:37:14,1,Out
06:38:13,1,In
06:39:27,1,Out
06:40:21,1,In
06:41:14,1,Out
06:41:45,1,In
06:41:45,2,In
06:42:51,1,In
06:42:51,2,In
06:43:47,1,Out
06:43:47,2,Out
06:43:58,1,Out
06:44:04,1,In
06:44:25,1,Out
06:44:25,2,Out
06:45:12,1,In
06:45:29,1,In
06:46:02,1,In
06:47:07,1,In
06:47:21,1,In
06:47:47,1,In
06:48:29,1,Out
06:49:04,1,In
06:49:23,1,In
06:49:41,1,In
06:51:30,1,In
06:51:42,1,Out
06:52:11,1,In
06:52:31,1,Out
06:53:21,1,In
06:53:57,1,Out
06:54:15,1,In
06:54:48,1,Out
06:55:09,1,In
06:55:28,1,Out
06:55:47,1,In
06:56:46,1,In
06:56:56,1,In
06:57:16,1,In
06:57:58,1,Out
06:58:56,1,In
06:59:34,1,Out
06:59:44,1,In
06:59:57,1,In
06:59:57,2,Out
07:01:12,1,In
07:01:47,1,In
07:02:23,1,Out
07:03:21,1,Out
07:04:07,1,In
07:04:57,1,Out
07:05:57,1,Out
07:06:23,1,In
07:07:01,1,Out
07:08:21,1,Out
07:09:13,1,In
07:10:05,1,Out
07:10:18,1,Out
07:11:03,1,Out
07:11:20,1,In
07:11:20,2,Out
07:12:18,1,In
07:12:41,1,Out
07:13:13,1,In
07:13:31,1,In
07:13:46,1,In
07:13:56,1,In
07:14:48,1,In
07:15:20,1,In
07:15:26,1,In
07:15:26,2,Out
07:16:24,1,In
07:17:04,1,In
07:18:46,1,In
07:19:00,1,In
07:19:27,1,In
07:19:36,1,In
07:20:10,1,Out
07:20:44,1,Out
07:21:06,1,Out
07:22:25,1,Out
07:22:57,1,Out
07:23:32,1,In
07:24:38,1,In
07:24:38,2,Out
07:25:12,1,In
07:25:58,1,In
07:26:12,1,In
07:26:18,1,In
07:27:17,1,Out
07:27:17,2,Out
07:27:26,1,Out
07:27:26,2,In
07:27:46,1,Out
07:29:24,1,In
07:30:21,1,In
07:30:39,1,Out
07:30:39,2,In
07:31:25,1,In
07:32:03,1,In
07:33:09,1,Out
07:33:28,1,Out
07:33:47,1,Out
07:34:09,1,In
07:35:01,1,Out
07:35:10,1,In
07:35:48,1,In
07:36:10,1,Out
07:36:47,1,Out
07:37:35,1,In
07:38:33,1,In
07:38:33,2,Out
07:39:16,1,Out
07:39:21,1,In
07:40:06,1,In
07:40:14,1,Out
07:40:50,1,Out
07:41:15,1,In
07:42:18,1,In
07:42:56,1,In
07:46:05,1,In
07:47:00,1,In
07:48:39,1,In
07:52:42,1,Out
07:52:55,1,Out
07:53:24,1,In
07:54:11,1,In
07:54:38,1,Out
07:55:04,1,Out
07:55:31,1,In
07:56:08,1,Out
07:57:07,1,In
07:58:14,1,Out
07:59:11,1,In
07:59:50,1,In
08:03:02,1,Out
08:03:35,1,Out
08:04:16,1,In
08:04:43,1,In
08:04:50,1,Out
08:05:31,1,In
08:07:44,1,Out
08:08:36,1,Out
08:10:44,1,Out
08:10:44,2,Out
08:14:30,1,Out
08:14:43,1,In
08:15:34,1,In
08:17:16,1,In
08:18:34,1,In
08:19:30,1,Out
08:22:05,1,In
08:23:04,1,Out
08:23:04,2,Out
08:23:43,1,In
08:24:09,1,Out
08:25:36,1,In
08:31:37,1,Out
08:31:37,2,Out
08:31:52,1,Out
08:32:45,1,In
08:33:07,1,In
08:35:17,1,Out
08:36:02,2,In
08:38:06,2,Out
08:38:49,1,Out
08:39:10,1,Out
08:40:19,1,Out
08:40:36,2,In
08:41:23,2,In
08:41:57,1,In
08:44:01,2,Out
08:44:14,1,In
08:44:50,1,Out
08:45:48,2,In
08:47:24,1,Out
08:49:32,2,In
